samplingLocation,CRA_NAME,n,positive,fitted.values.mean,fitted.values.sd,fitted.values.0.025quant,fitted.values.0.5quant,fitted.values.0.975quant,fitted.values.mode
daycare,Downtown Commercial Core,11,11,11.69008572,3.266015937,6.578141859,11.25890421,19.27352952,10.44386921
daycare,Duwamish/SODO,4,4,6.067395655,2.254228148,2.810516666,5.687501643,11.5120233,4.997641064
daycare,West Seattle Junction/Genesee Hill,17,17,16.91472919,3.985191148,10.4390259,16.46392096,25.9697528,15.59833048
daycare,North Beacon Hill/Jefferson Park,13,13,13.40304767,3.517894997,7.816264348,12.96391173,21.50507219,12.12866932
daycare,Georgetown,3,3,5.336864907,2.088819817,2.370920375,4.969725072,10.41950874,4.309722485
daycare,South Park,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Rainier Beach,3,3,5.336864907,2.088819817,2.370920375,4.969725072,10.41950874,4.309722485
daycare,Sunset Hill/Loyal Heights,75,75,71.88258527,8.416396635,56.79755744,71.3948449,89.75007007,70.42956281
daycare,Belltown,8,8,9.194344159,2.860238903,4.838524031,8.77931134,15.93265259,8.004789802
daycare,Mt. Baker/North Rainier,6,6,7.595550885,2.567656844,3.775860278,7.195497602,13.71489319,6.457571693
daycare,Alki/Admiral,13,13,13.40304767,3.517894997,7.816264348,12.96391173,21.50507219,12.12866932
daycare,North Delridge,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,Beacon Hill,5,5,6.821361107,2.413728406,3.279775878,6.430608856,12.61102908,5.715253875
daycare,Fauntleroy/Seaview,9,9,10.01484015,2.999592463,5.400782437,9.59372742,17.04493314,8.804123576
daycare,Riverview,0,0,3.328240533,1.555516997,1.261483576,3.015134894,7.208568388,2.474636102
daycare,South Beacon Hill/NewHolly,1,1,3.962266325,1.739399188,1.59318643,3.628024877,8.263890189,3.041805963
daycare,Seward Park,2,2,4.633620979,1.917242079,1.964066401,4.281540083,9.335737183,3.655801586
daycare,University District,20,20,19.60509147,4.309229289,12.50845648,19.14797598,29.31563207,18.26577024
daycare,Madrona/Leschi,10,10,10.84719959,3.134753552,5.981184508,10.4207429,18.15870155,9.617795464
shelter,Olympic Hills/Victory Heights,5,5,6.225085207,2.193793415,3.00216637,5.871138104,11.48418013,5.222724488
shelter,Cedar Park/Meadowbrook,6,6,6.93029656,2.343526096,3.444358253,6.565064276,12.51573485,5.891398485
shelter,Northgate/Maple Leaf,16,16,14.83903361,3.6435351,8.968346122,14.41095725,23.15991995,13.59164034
shelter,Wallingford,6,6,6.93029656,2.343526096,3.444358253,6.565064276,12.51573485,5.891398485
shelter,Interbay,0,0,3.120855513,1.390542993,1.237773469,2.85064965,6.56687365,2.378524913
shelter,Queen Anne,4,4,5.543565868,2.040051699,2.587027541,5.20243813,10.46421625,4.58198415
shelter,Central Area/Squire Park,48,48,43.86455551,6.498274233,32.50617615,43.39096942,57.92574736,42.45931992
shelter,Judkins Park,14,14,13.16727479,3.408475688,7.737493192,12.74709211,21.00337447,11.94685972
shelter,Pioneer Square/International District,71,71,65.75439058,8.006531043,51.45769326,65.27226073,82.80164457,64.31874672
shelter,High Point,24,24,21.78490556,4.49286739,14.3008172,21.33585655,31.83560362,20.46561636
shelter,Arbor Heights,3,3,4.888775635,1.882410359,2.201037004,4.56222228,9.458527184,3.97331845
shelter,NA,0,0,3.120855513,1.390542993,1.237773469,2.85064965,6.56687365,2.378524913
shelter,Highland Park,9,9,9.163097194,2.769136074,4.913440334,8.771285406,15.66097145,8.037382326
shelter,Licton Springs,3,3,4.888775635,1.882410359,2.201037004,4.56222228,9.458527184,3.97331845
