GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033009200,h3n2,2019_W02,0.003791695,0.001090963,0.003791627,0.013164523,0.003791695,5
53033009300,h3n2,2019_W02,0.002784622,0.000542523,0.002784557,0.014273215,0.002784622,4
53033009400,h3n2,2019_W02,0.002973463,0.000627348,0.002973397,0.014075136,0.002973463,5
53033009500,h3n2,2019_W02,0.000690186,2.35E-05,0.000690152,0.020176527,0.000690186,3
53033009600,h3n2,2019_W02,0.00221988,9.64E-05,0.00221978,0.051003172,0.00221988,4
53033009701,h3n2,2019_W02,0.004881316,0.000477993,0.004881154,0.049751961,0.004881316,5
53033009702,h3n2,2019_W02,0.000415175,5.23E-06,0.000415149,0.0328322,0.000415175,3
53033009800,h3n2,2019_W02,0.005057267,0.000819082,0.005057135,0.031177731,0.005057267,5
53033009900,h3n2,2019_W02,0.001914131,0.000156927,0.001914062,0.023299029,0.001914131,4
53033010001,h3n2,2019_W02,0.00061855,4.31E-05,0.000618526,0.008864601,0.00061855,3
53033010002,h3n2,2019_W02,0.001916392,0.000197778,0.00191633,0.018533921,0.001916392,4
53033010100,h3n2,2019_W02,0.001550759,0.000259013,0.001550719,0.009270808,0.001550759,4
53033010200,h3n2,2019_W02,0.005143238,0.000754351,0.005143096,0.035010957,0.005143238,5
53033010300,h3n2,2019_W02,0.003715121,0.000529586,0.003715017,0.026019751,0.003715121,5
53033010401,h3n2,2019_W02,0.000999492,5.92E-05,0.000999451,0.016824982,0.000999492,4
53033010402,h3n2,2019_W02,0.000196096,3.52E-06,0.000196084,0.010888226,0.000196096,3
53033010500,h3n2,2019_W02,0.001358031,8.05E-05,0.001357976,0.02285602,0.001358031,4
53033010600,h3n2,2019_W02,0.002000366,0.000208537,0.002000301,0.019152065,0.002000366,4
53033010701,h3n2,2019_W02,0.00356313,0.000441531,0.003563024,0.028704174,0.00356313,5
53033010702,h3n2,2019_W02,0.001075631,6.76E-05,0.001075588,0.017080701,0.001075631,4
53033010800,h3n2,2019_W02,0.002835316,0.000314934,0.002835227,0.025479294,0.002835316,4
53033010900,h3n2,2019_W02,0.000695538,1.59E-05,0.0006955,0.030395287,0.000695538,3
53033011001,h3n2,2019_W02,5.60E-07,1.85E-53,5.60E-07,1.55E+40,5.60E-07,1
53033011002,h3n2,2019_W02,6.68E-07,3.10E-54,6.67E-07,1.32E+41,6.68E-07,1
53033011101,h3n2,2019_W02,0.001140521,7.65E-05,0.001140477,0.016962349,0.001140521,4
53033011102,h3n2,2019_W02,0.003147153,0.000332032,0.003147052,0.029774253,0.003147153,5
53033011200,h3n2,2019_W02,0.001826146,6.40E-05,0.001826058,0.05193974,0.001826146,4
53033011300,h3n2,2019_W02,0.002310325,8.09E-05,0.002310214,0.065784168,0.002310325,4
53033011401,h3n2,2019_W02,0.002700531,0.000281963,0.002700444,0.02581593,0.002700531,4
53033011402,h3n2,2019_W02,0.009920531,0.001611901,0.009920273,0.060963913,0.009920531,5
53033011500,h3n2,2019_W02,0.00120152,5.80E-05,0.001201468,0.024819475,0.00120152,4
53033011600,h3n2,2019_W02,0.005397873,0.000864217,0.005397731,0.033663435,0.005397873,5
53033011700,h3n2,2019_W02,5.54E-07,2.47E-53,5.53E-07,1.14E+40,5.54E-07,1
53033011800,h3n2,2019_W02,0.000246389,3.16E-06,0.000246373,0.019160839,0.000246389,3
53033011900,h3n2,2019_W02,0.00452856,0.000921717,0.004528457,0.022220079,0.00452856,5
53033012000,h3n2,2019_W02,0.004913379,0.000485704,0.004913216,0.04960786,0.004913379,5
53033012100,h3n2,2019_W02,4.93E-07,8.59E-53,4.92E-07,2.59E+39,4.93E-07,1
53033020100,h3n2,2019_W02,1.25E-06,7.97E-58,1.25E-06,1.77E+45,1.25E-06,1
53033020200,h3n2,2019_W02,1.55E-06,4.60E-59,1.55E-06,4.71E+46,1.55E-06,1
53033020300,h3n2,2019_W02,0.011288234,0.000918102,0.011287828,0.138500562,0.011288234,5
53033020401,h3n2,2019_W02,1.49E-06,9.74E-59,1.48E-06,2.05E+46,1.49E-06,1
53033020402,h3n2,2019_W02,1.74E-06,1.39E-59,1.73E-06,1.96E+47,1.74E-06,1
53033020500,h3n2,2019_W02,1.49E-06,8.68E-59,1.49E-06,2.31E+46,1.49E-06,1
53033020600,h3n2,2019_W02,1.57E-06,3.95E-59,1.57E-06,5.64E+46,1.57E-06,1
53033020700,h3n2,2019_W02,0.003237842,0.000141025,0.003237696,0.074144601,0.003237842,5
53033020800,h3n2,2019_W02,1.60E-06,2.87E-59,1.59E-06,8.03E+46,1.60E-06,1
53033020900,h3n2,2019_W02,1.28E-06,4.43E-58,1.28E-06,3.37E+45,1.28E-06,1
53033021000,h3n2,2019_W02,1.29E-06,4.73E-58,1.29E-06,3.17E+45,1.29E-06,1
53033021100,h3n2,2019_W02,0.000403384,2.05E-06,0.000403353,0.078892957,0.000403384,3
53033021300,h3n2,2019_W02,0.009486462,0.000502287,0.009486062,0.178727676,0.009486462,5
53033021400,h3n2,2019_W02,1.42E-06,2.13E-58,1.41E-06,8.53E+45,1.42E-06,1
53033021500,h3n2,2019_W02,1.51E-06,1.20E-58,1.51E-06,1.71E+46,1.51E-06,1
53033021600,h3n2,2019_W02,0.005306465,0.000258246,0.005306235,0.108762922,0.005306465,5
53033021700,h3n2,2019_W02,0.006022033,0.000294144,0.006021772,0.122979271,0.006022033,5
53033021802,h3n2,2019_W02,1.47E-06,5.23E-58,1.47E-06,3.73E+45,1.47E-06,1
53033021803,h3n2,2019_W02,1.23E-06,3.45E-57,1.22E-06,3.95E+44,1.23E-06,1
53033021804,h3n2,2019_W02,1.26E-06,2.96E-57,1.26E-06,4.88E+44,1.26E-06,1
53033021903,h3n2,2019_W02,0.007878139,0.000348876,0.007877787,0.177438173,0.007878139,5
53033021904,h3n2,2019_W02,1.40E-06,1.20E-57,1.40E-06,1.48E+45,1.40E-06,1
53033021905,h3n2,2019_W02,0.007606163,0.000336405,0.007605823,0.171529476,0.007606163,5
53033021906,h3n2,2019_W02,1.64E-06,1.38E-58,1.64E-06,1.77E+46,1.64E-06,1
53033022001,h3n2,2019_W02,0.002536054,6.82E-05,0.002535923,0.094045798,0.002536054,4
53033022003,h3n2,2019_W02,1.32E-06,1.58E-57,1.32E-06,9.99E+44,1.32E-06,1
53033022005,h3n2,2019_W02,1.25E-06,3.31E-57,1.25E-06,4.29E+44,1.25E-06,1
53033022006,h3n2,2019_W02,8.33E-07,2.87E-55,8.32E-07,2.20E+42,8.33E-07,1
53033022101,h3n2,2019_W02,1.05E-06,1.21E-56,1.05E-06,8.37E+43,1.05E-06,1
53033022102,h3n2,2019_W02,0.002315153,7.13E-05,0.002315038,0.074928167,0.002315153,4
53033022201,h3n2,2019_W02,0.014409597,0.001071888,0.01440906,0.193291288,0.014409597,5
53033022202,h3n2,2019_W02,0.002961817,0.000104537,0.002961675,0.083682467,0.002961817,5
53033022203,h3n2,2019_W02,7.26E-07,9.29E-55,7.25E-07,5.18E+41,7.26E-07,1
53033022300,h3n2,2019_W02,7.35E-07,4.95E-55,7.34E-07,9.96E+41,7.35E-07,1
53033022400,h3n2,2019_W02,8.52E-07,1.76E-55,8.51E-07,3.75E+42,8.52E-07,1
53033022500,h3n2,2019_W02,9.15E-07,1.38E-55,9.14E-07,5.52E+42,9.15E-07,1
53033022603,h3n2,2019_W02,1.30E-06,2.61E-57,1.30E-06,5.87E+44,1.30E-06,1
53033022604,h3n2,2019_W02,1.46E-06,6.63E-58,1.45E-06,2.90E+45,1.46E-06,1
53033022605,h3n2,2019_W02,1.81E-06,4.01E-59,1.81E-06,7.38E+46,1.81E-06,1
53033022606,h3n2,2019_W02,1.89E-06,2.18E-59,1.89E-06,1.49E+47,1.89E-06,1
53033022701,h3n2,2019_W02,9.91E-07,5.06E-56,9.89E-07,1.77E+43,9.91E-07,1
53033022702,h3n2,2019_W02,1.21E-06,6.69E-57,1.20E-06,1.97E+44,1.21E-06,1
53033022703,h3n2,2019_W02,0.001064671,1.08E-05,0.0010646,0.104861718,0.001064671,4
53033022801,h3n2,2019_W02,1.57E-06,3.14E-58,1.57E-06,7.09E+45,1.57E-06,1
53033022802,h3n2,2019_W02,0.001139764,1.16E-05,0.001139689,0.111375747,0.001139764,4
53033022803,h3n2,2019_W02,0.006831518,0.000272564,0.006831202,0.170764778,0.006831518,5
53033022901,h3n2,2019_W02,1.56E-06,4.57E-58,1.56E-06,4.83E+45,1.56E-06,1
53033022902,h3n2,2019_W02,0.003718168,8.70E-05,0.003717968,0.158323064,0.003718168,5
53033023000,h3n2,2019_W02,0.011864281,0.001545351,0.011863934,0.090932054,0.011864281,5
53033023100,h3n2,2019_W02,0.011661133,0.000576601,0.01166063,0.235242963,0.011661133,5
53033023201,h3n2,2019_W02,1.37E-06,2.36E-57,1.37E-06,7.21E+44,1.37E-06,1
53033023202,h3n2,2019_W02,0.005072563,0.000159592,0.005072311,0.160764553,0.005072563,5
53033023300,h3n2,2019_W02,1.70E-06,1.50E-58,1.70E-06,1.74E+46,1.70E-06,1
53033023401,h3n2,2019_W02,2.02E-06,1.35E-59,2.01E-06,2.72E+47,2.02E-06,1
53033023403,h3n2,2019_W02,1.89E-06,4.13E-59,1.88E-06,7.79E+46,1.89E-06,1
53033023404,h3n2,2019_W02,1.96E-06,3.09E-59,1.95E-06,1.12E+47,1.96E-06,1
53033023500,h3n2,2019_W02,0.006278605,0.000196902,0.006278293,0.199628073,0.006278605,5
