GEOID,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
53033010300,h1n1pdm,2018_W47,0.000240281,1.47E-06,0.000240264,0.039038282,0.000240281,3
53033010401,h1n1pdm,2018_W47,6.85E-05,1.84E-06,6.85E-05,0.002545921,6.85E-05,3
53033010402,h1n1pdm,2018_W47,1.03E-07,2.05E-10,1.03E-07,5.14E-05,1.03E-07,1
53033010500,h1n1pdm,2018_W47,7.19E-06,3.35E-09,7.19E-06,0.015312893,7.19E-06,2
53033010600,h1n1pdm,2018_W47,8.38E-05,3.71E-06,8.38E-05,0.001889862,8.38E-05,3
53033010701,h1n1pdm,2018_W47,8.58E-06,6.81E-08,8.58E-06,0.00107647,8.58E-06,3
53033010702,h1n1pdm,2018_W47,2.25E-05,2.66E-08,2.25E-05,0.018921677,2.25E-05,3
53033010800,h1n1pdm,2018_W47,0.000157008,4.98E-06,0.000157,0.004934167,0.000157008,3
53033010900,h1n1pdm,2018_W47,3.74E-06,7.76E-08,3.74E-06,0.000179586,3.74E-06,2
53033011001,h1n1pdm,2018_W47,1.38E-07,6.34E-12,1.38E-07,0.002963164,1.38E-07,1
53033011002,h1n1pdm,2018_W47,0.000108895,1.01E-06,0.000108888,0.011654464,0.000108895,3
53033011101,h1n1pdm,2018_W47,5.56E-05,1.90E-06,5.56E-05,0.001626939,5.56E-05,3
53033011102,h1n1pdm,2018_W47,0.000126294,4.23E-06,0.000126288,0.003762619,0.000126294,3
53033011200,h1n1pdm,2018_W47,0.00037881,2.33E-06,0.000378782,0.06144964,0.00037881,4
53033011300,h1n1pdm,2018_W47,5.70E-09,2.17E-70,5.69E-09,1.33E+53,5.70E-09,1
53033011401,h1n1pdm,2018_W47,3.32E-05,1.93E-07,3.32E-05,0.005701016,3.32E-05,3
53033011402,h1n1pdm,2018_W47,4.22E-06,9.90E-09,4.22E-06,0.001790128,4.22E-06,2
53033011500,h1n1pdm,2018_W47,4.92E-08,1.24E-12,4.92E-08,0.001932377,4.92E-08,1
53033011600,h1n1pdm,2018_W47,3.06E-05,3.61E-07,3.06E-05,0.002577509,3.06E-05,3
53033011700,h1n1pdm,2018_W47,1.34E-05,5.55E-08,1.34E-05,0.003238517,1.34E-05,3
53033011800,h1n1pdm,2018_W47,2.19E-05,4.39E-07,2.19E-05,0.001093384,2.19E-05,3
53033011900,h1n1pdm,2018_W47,6.94E-06,2.47E-07,6.94E-06,0.000194475,6.94E-06,2
53033012000,h1n1pdm,2018_W47,8.76E-05,3.53E-06,8.76E-05,0.002172094,8.76E-05,3
53033012100,h1n1pdm,2018_W47,3.43E-06,3.50E-08,3.43E-06,0.000335661,3.43E-06,2
53033020100,h1n1pdm,2018_W47,9.58E-09,3.41E-72,9.56E-09,2.39E+55,9.58E-09,1
53033020200,h1n1pdm,2018_W47,4.78E-07,2.19E-11,4.78E-07,0.010310234,4.78E-07,1
53033020300,h1n1pdm,2018_W47,5.72E-05,4.32E-08,5.72E-05,0.075419798,5.72E-05,3
53033020401,h1n1pdm,2018_W47,1.15E-08,7.05E-73,1.15E-08,1.66E+56,1.15E-08,1
53033020402,h1n1pdm,2018_W47,1.37E-08,1.45E-73,1.36E-08,1.14E+57,1.37E-08,1
53033020500,h1n1pdm,2018_W47,1.43E-06,1.22E-10,1.43E-06,0.016568815,1.43E-06,2
53033020600,h1n1pdm,2018_W47,4.99E-07,2.29E-11,4.99E-07,0.010762403,4.99E-07,1
53033020700,h1n1pdm,2018_W47,1.21E-08,4.58E-73,1.21E-08,2.84E+56,1.21E-08,1
53033020800,h1n1pdm,2018_W47,1.21E-08,4.14E-73,1.21E-08,3.15E+56,1.21E-08,1
53033020900,h1n1pdm,2018_W47,0.003773585,6.78E-05,0.003773367,0.209265581,0.003773585,5
53033021000,h1n1pdm,2018_W47,1.03E-08,1.81E-72,1.03E-08,5.20E+55,1.03E-08,1
53033021100,h1n1pdm,2018_W47,8.79E-09,7.21E-72,8.77E-09,9.50E+54,8.79E-09,1
53033021300,h1n1pdm,2018_W47,9.33E-09,4.35E-72,9.31E-09,1.77E+55,9.33E-09,1
53033021400,h1n1pdm,2018_W47,1.10E-08,1.08E-72,1.10E-08,9.85E+55,1.10E-08,1
53033021500,h1n1pdm,2018_W47,1.23E-08,5.21E-73,1.23E-08,2.56E+56,1.23E-08,1
53033021600,h1n1pdm,2018_W47,7.59E-09,2.26E-71,7.58E-09,2.26E+54,7.59E-09,1
53033021700,h1n1pdm,2018_W47,9.33E-08,2.36E-12,9.33E-08,0.003660118,9.33E-08,1
53033021802,h1n1pdm,2018_W47,0.000302135,2.82E-06,0.000302114,0.032287257,0.000302135,4
53033021803,h1n1pdm,2018_W47,9.45E-09,3.77E-72,9.43E-09,2.10E+55,9.45E-09,1
53033021804,h1n1pdm,2018_W47,9.27E-09,4.39E-72,9.25E-09,1.73E+55,9.27E-09,1
53033021903,h1n1pdm,2018_W47,1.12E-08,8.89E-73,1.11E-08,1.24E+56,1.12E-08,1
53033021904,h1n1pdm,2018_W47,1.06E-08,1.54E-72,1.05E-08,6.40E+55,1.06E-08,1
53033021905,h1n1pdm,2018_W47,8.52E-06,4.37E-08,8.52E-06,0.001653821,8.52E-06,3
53033021906,h1n1pdm,2018_W47,4.26E-06,6.67E-10,4.26E-06,0.027012528,4.26E-06,2
