PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11611,rsva,2019_W02,0.007423224,0.000920356,0.007423853,0.059729564,0.007425846,3
11612,rsva,2019_W02,0.006542358,0.000474666,0.006795746,0.072875609,0.007320438,3
11613,rsva,2019_W02,0.00063869,4.33E-06,0.000643187,0.090154503,0.00065249,2
11614,rsva,2019_W02,0.000153697,6.26E-08,0.000157111,0.330887063,0.000163985,1
11615,rsva,2019_W02,0.003199203,0.000137538,0.003204655,0.073501372,0.003216376,2
11616,rsva,2019_W02,9.62E-05,3.43E-08,9.85E-05,0.23400942,0.000103031,1
11601,rsva,2019_W03,0.022094581,0.011283914,0.022113645,0.043030623,0.022153336,4
11602,rsva,2019_W03,0.056535261,0.033098692,0.056503695,0.096817283,0.056440673,4
11603,rsva,2019_W03,0.032615019,0.017863827,0.032619618,0.059467582,0.032630083,4
11604,rsva,2019_W03,0.049700653,0.027730232,0.049669049,0.089343758,0.049606522,4
11605,rsva,2019_W03,0.0623651,0.033259518,0.06231902,0.117351672,0.062227474,4
11606,rsva,2019_W03,0.168930753,0.081470618,0.169371028,0.345064734,0.170268956,5
11607,rsva,2019_W03,0.297334098,0.166654307,0.297100812,0.532503634,0.296637356,5
11608,rsva,2019_W03,0.003240008,0.000132512,0.003260228,0.076266928,0.00330066,2
11609,rsva,2019_W03,0.001204005,2.54E-05,0.001225549,0.051450728,0.00126897,2
11610,rsva,2019_W03,0.009815801,0.001132147,0.009961475,0.078296784,0.010253844,3
11611,rsva,2019_W03,0.009237573,0.001438559,0.009237622,0.059213962,0.009238521,3
11612,rsva,2019_W03,0.014053868,0.001800344,0.014457193,0.093658847,0.015283145,3
11613,rsva,2019_W03,0.001092843,1.53E-05,0.001099651,0.075141053,0.001113814,2
11614,rsva,2019_W03,0.000274978,2.87E-07,0.00028072,0.233422169,0.00029234,2
11615,rsva,2019_W03,0.004652373,0.000310147,0.0046583,0.069124157,0.004671111,3
11616,rsva,2019_W03,0.000188523,1.78E-07,0.000192919,0.174130129,0.000201614,1
11601,rsva,2019_W04,0.028601079,0.015384551,0.028634934,0.05279581,0.028704586,4
11602,rsva,2019_W04,0.059116501,0.035076632,0.059074697,0.099973863,0.058991058,4
11603,rsva,2019_W04,0.05122417,0.030044105,0.051230159,0.087235929,0.051243814,4
11604,rsva,2019_W04,0.055352266,0.031741351,0.055318232,0.096805433,0.055250896,4
11605,rsva,2019_W04,0.068695011,0.037802717,0.068640239,0.125314814,0.068531385,4
11606,rsva,2019_W04,0.190183294,0.09534901,0.190554882,0.375034318,0.191311536,5
11607,rsva,2019_W04,0.290302923,0.166430973,0.290354452,0.505597688,0.290461645,5
11608,rsva,2019_W04,0.005594339,0.000404871,0.005616653,0.07540539,0.005661633,3
11609,rsva,2019_W04,0.002285377,9.60E-05,0.002316246,0.050355187,0.002378271,2
11610,rsva,2019_W04,0.017559414,0.003190101,0.017703133,0.092232893,0.01799019,3
11611,rsva,2019_W04,0.010891936,0.002032425,0.010896524,0.058141852,0.010906477,3
11612,rsva,2019_W04,0.028457927,0.005959691,0.028956122,0.123385806,0.029962171,4
11613,rsva,2019_W04,0.001772007,4.74E-05,0.001782346,0.063991636,0.001803948,2
11614,rsva,2019_W04,0.000466798,1.16E-06,0.000475824,0.167239198,0.000494188,2
11615,rsva,2019_W04,0.006357315,0.000607832,0.006366273,0.065832227,0.006385292,3
11616,rsva,2019_W04,0.000350788,8.24E-07,0.000358383,0.131615949,0.00037344,2
11601,rsva,2019_W05,0.036744856,0.020715579,0.036804242,0.064565408,0.036925319,4
11602,rsva,2019_W05,0.04739812,0.028187194,0.047400563,0.079640205,0.047406358,4
11603,rsva,2019_W05,0.071068857,0.043600956,0.071108372,0.115432505,0.071189166,4
11604,rsva,2019_W05,0.054064861,0.031425074,0.05403745,0.093229373,0.05398356,4
11605,rsva,2019_W05,0.064941178,0.036359791,0.064910093,0.116233554,0.064849184,4
11606,rsva,2019_W05,0.217008015,0.113770771,0.217262778,0.410997286,0.217784032,5
11607,rsva,2019_W05,0.283348206,0.164010882,0.283751849,0.485418569,0.284563045,5
11608,rsva,2019_W05,0.009317599,0.001094665,0.009339493,0.078118746,0.009384364,3
11609,rsva,2019_W05,0.004197127,0.000323053,0.004236086,0.051673588,0.004314356,3
11610,rsva,2019_W05,0.029998058,0.007824852,0.030083434,0.113051091,0.030254899,4
11611,rsva,2019_W05,0.012665478,0.002745578,0.012675218,0.058091852,0.012695518,3
11612,rsva,2019_W05,0.055034829,0.017134124,0.055449028,0.169405786,0.056273428,4
11613,rsva,2019_W05,0.002777967,0.000130953,0.00279416,0.056913299,0.002828023,2
11614,rsva,2019_W05,0.000767884,4.28E-06,0.000781496,0.12433762,0.000809353,2
11615,rsva,2019_W05,0.008290029,0.001059084,0.008302918,0.064213904,0.008329953,3
11616,rsva,2019_W05,0.000632661,3.46E-06,0.000645041,0.103219387,0.000669659,2
11601,rsva,2019_W06,0.055500895,0.0329517,0.055578268,0.092720286,0.055735762,4
11602,rsva,2019_W06,0.040789878,0.023796124,0.04086923,0.069139361,0.041030091,4
11603,rsva,2019_W06,0.109136517,0.069533449,0.109193029,0.170733573,0.10930834,5
11604,rsva,2019_W06,0.05414672,0.031754697,0.054140546,0.092340222,0.054129389,4
11605,rsva,2019_W06,0.063852444,0.036108016,0.063876756,0.112614764,0.063926649,4
11606,rsva,2019_W06,0.27543539,0.151513002,0.275585695,0.498920457,0.275898746,5
11607,rsva,2019_W06,0.323303342,0.191135808,0.323954692,0.540563888,0.325274781,5
11608,rsva,2019_W06,0.015793546,0.002768102,0.015815037,0.089286029,0.015859885,3
11609,rsva,2019_W06,0.00788582,0.001020144,0.007933395,0.058839702,0.008029233,3
11610,rsva,2019_W06,0.05114102,0.017361402,0.051149377,0.150347857,0.051168724,4
11611,rsva,2019_W06,0.015604741,0.00386465,0.015620913,0.062561972,0.015654079,3
11612,rsva,2019_W06,0.105867082,0.043770112,0.106040883,0.253510712,0.106387555,5
11613,rsva,2019_W06,0.004452463,0.000344794,0.004475514,0.055755152,0.004523613,3
11614,rsva,2019_W06,0.001296469,1.52E-05,0.001316532,0.10133701,0.001357689,2
11615,rsva,2019_W06,0.010838511,0.001755047,0.010847985,0.066500578,0.010868208,3
11616,rsva,2019_W06,0.001171584,1.40E-05,0.001191961,0.088627133,0.001232607,2
11601,rsva,2019_W07,0.102024148,0.064288112,0.102072674,0.161415338,0.102172087,5
11602,rsva,2019_W07,0.047292164,0.02778933,0.047412384,0.079329681,0.047658246,4
11603,rsva,2019_W07,0.19396764,0.128297415,0.19395994,0.293204226,0.193947925,5
11604,rsva,2019_W07,0.061526877,0.036676681,0.061546601,0.102980872,0.06158774,4
11605,rsva,2019_W07,0.073407126,0.042316913,0.07349058,0.126474527,0.073659311,4
11606,rsva,2019_W07,0.386313284,0.224400194,0.386440976,0.663487026,0.386706335,5
11607,rsva,2019_W07,0.452309452,0.279459427,0.45306377,0.725056104,0.454597762,5
11608,rsva,2019_W07,0.027639522,0.006709786,0.027654856,0.113354335,0.027687892,4
11609,rsva,2019_W07,0.015432954,0.00308137,0.015489552,0.075623179,0.015603934,3
11610,rsva,2019_W07,0.086720906,0.035457751,0.086665111,0.212672762,0.086556515,5
11611,rsva,2019_W07,0.020992302,0.005895737,0.021023329,0.074041103,0.021085998,4
11612,rsva,2019_W07,0.199952173,0.099280724,0.199878669,0.403251191,0.199735856,5
11613,rsva,2019_W07,0.007433134,0.000886309,0.007458564,0.061056162,0.007511421,3
11614,rsva,2019_W07,0.002294936,5.30E-05,0.002322927,0.092653115,0.002380124,2
11615,rsva,2019_W07,0.014348742,0.002834232,0.01434731,0.072574111,0.014345682,3
11616,rsva,2019_W07,0.002276056,5.57E-05,0.002310118,0.085308792,0.002378143,2
11601,rsva,2019_W08,0.197369752,0.130126196,0.197336191,0.299528799,0.197272455,5
11602,rsva,2019_W08,0.073732044,0.045394433,0.073818628,0.118932845,0.073994831,4
11603,rsva,2019_W08,0.316808318,0.214317935,0.316754882,0.468580731,0.316652736,5
11604,rsva,2019_W08,0.076559687,0.046553111,0.076640393,0.125118613,0.076804516,4
11605,rsva,2019_W08,0.098461536,0.058643014,0.098590247,0.164048137,0.098851288,5
11606,rsva,2019_W08,0.581318608,0.356867284,0.581338723,0.946308174,0.581388119,5
11607,rsva,2019_W08,0.736266946,0.481396541,0.736785828,1.121256283,0.737848341,5
11608,rsva,2019_W08,0.048045522,0.015051196,0.048041656,0.153268983,0.048036707,4
11609,rsva,2019_W08,0.030433942,0.00859627,0.030491919,0.106485434,0.030609642,4
11610,rsva,2019_W08,0.136328402,0.063464044,0.136245115,0.293631876,0.136082525,5
11611,rsva,2019_W08,0.030085713,0.009495796,0.030144,0.094195465,0.030261126,4
11612,rsva,2019_W08,0.349187848,0.193571816,0.348938966,0.63204907,0.348445439,5
11613,rsva,2019_W08,0.012530628,0.002143587,0.012547808,0.072576499,0.012583731,3
11614,rsva,2019_W08,0.004146837,0.000175421,0.004181319,0.09333628,0.004251174,3
11615,rsva,2019_W08,0.019100615,0.004412533,0.019096357,0.082669988,0.019089187,4
11616,rsva,2019_W08,0.004517679,0.000209965,0.004572325,0.090635008,0.004681328,3
11601,rsva,2019_W09,0.310630653,0.209545808,0.310573476,0.460781738,0.31046369,5
11602,rsva,2019_W09,0.127190154,0.081803311,0.127195156,0.197635443,0.127207999,5
11603,rsva,2019_W09,0.407413556,0.27852393,0.407365088,0.596132827,0.407274273,5
11604,rsva,2019_W09,0.109426657,0.068553723,0.109526024,0.173721311,0.109729331,5
11605,rsva,2019_W09,0.14330866,0.088799897,0.143442715,0.229983952,0.143716588,5
11606,rsva,2019_W09,0.856188221,0.548385284,0.855909873,1.338603402,0.855367158,5
11607,rsva,2019_W09,1.172788659,0.802470946,1.173080246,1.711031564,1.173688327,5
11608,rsva,2019_W09,0.077564881,0.029209181,0.077553628,0.205949771,0.07753456,4
11609,rsva,2019_W09,0.057011577,0.020827369,0.057056055,0.155236606,0.057147536,4
11610,rsva,2019_W09,0.188602083,0.095179272,0.188557599,0.373972309,0.188473396,5
11611,rsva,2019_W09,0.043572285,0.015259462,0.043656568,0.12296679,0.043826531,4
11612,rsva,2019_W09,0.505015169,0.29665414,0.504685821,0.862405351,0.504030691,5
11613,rsva,2019_W09,0.020224403,0.004584789,0.02022831,0.088994436,0.020237594,4
11614,rsva,2019_W09,0.007302979,0.000519397,0.007337904,0.099730977,0.007408156,3
11615,rsva,2019_W09,0.024763869,0.006395956,0.024784361,0.095317859,0.024826498,4
11616,rsva,2019_W09,0.008750122,0.000708349,0.008828267,0.102615202,0.008984022,3
11601,rsva,2019_W10,0.357093089,0.242803374,0.357051833,0.525329933,0.356974781,5
11602,rsva,2019_W10,0.190752318,0.125478192,0.19070975,0.290229081,0.190627865,5
11603,rsva,2019_W10,0.398755944,0.272608373,0.398724856,0.583325695,0.398669097,5
11604,rsva,2019_W10,0.156356572,0.101061817,0.156448859,0.241021271,0.156638476,5
11605,rsva,2019_W10,0.198879701,0.127731683,0.199002334,0.3084782,0.199253788,5
11606,rsva,2019_W10,1.05487492,0.690480215,1.054402186,1.614940606,1.05347202,5
11607,rsva,2019_W10,1.651432832,1.164406874,1.651347433,2.342064104,1.651200396,5
11608,rsva,2019_W10,0.110853549,0.047217181,0.110876631,0.25974434,0.110926668,5
11609,rsva,2019_W10,0.094400116,0.041090073,0.094421191,0.216435037,0.094466648,5
11610,rsva,2019_W10,0.230091988,0.120948855,0.230063316,0.43776266,0.230011575,5
11611,rsva,2019_W10,0.059718885,0.02288517,0.059789923,0.154671818,0.059934685,4
11612,rsva,2019_W10,0.535972415,0.321957641,0.53575051,0.89387376,0.535315808,5
11613,rsva,2019_W10,0.029483728,0.008210129,0.029490354,0.105621058,0.029505141,4
11614,rsva,2019_W10,0.011960305,0.001304091,0.011989603,0.1079727,0.012048757,3
11615,rsva,2019_W10,0.030069013,0.008406171,0.03013273,0.106171326,0.030261279,4
11616,rsva,2019_W10,0.01578483,0.002031334,0.015878461,0.118451385,0.016065592,3
11601,rsva,2019_W11,0.313375144,0.212138254,0.31335394,0.462931604,0.31331662,5
11602,rsva,2019_W11,0.223457631,0.148676121,0.223446889,0.335816411,0.223429323,5
11603,rsva,2019_W11,0.298181876,0.201371298,0.298279092,0.440579827,0.29847963,5
11604,rsva,2019_W11,0.21656844,0.143855894,0.216615767,0.325516376,0.216714929,5
11605,rsva,2019_W11,0.269408788,0.178390605,0.269395063,0.406825556,0.269373757,5
11606,rsva,2019_W11,1.028549441,0.674569656,1.028204557,1.570573507,1.027532398,5
11607,rsva,2019_W11,1.944651921,1.388616222,1.944081025,2.726912434,1.942961162,5
11608,rsva,2019_W11,0.140053624,0.064645108,0.140119322,0.30241474,0.140254913,5
11609,rsva,2019_W11,0.134819758,0.065457239,0.134794111,0.27778686,0.134747126,5
11610,rsva,2019_W11,0.239747649,0.127173554,0.239675272,0.452459814,0.239536972,5
11611,rsva,2019_W11,0.073895208,0.03026627,0.073912932,0.180023755,0.073951774,4
11612,rsva,2019_W11,0.461401041,0.27325224,0.461371465,0.77898904,0.461321922,5
11613,rsva,2019_W11,0.039057517,0.012588438,0.039080342,0.120659388,0.039127571,4
11614,rsva,2019_W11,0.018012995,0.002754011,0.018034789,0.116817172,0.018079637,3
11615,rsva,2019_W11,0.033808886,0.010038421,0.03390204,0.112011888,0.034089592,4
11616,rsva,2019_W11,0.026227937,0.004903783,0.02631714,0.137435288,0.026496546,4
11601,rsva,2019_W12,0.229896178,0.153321444,0.229923817,0.344356728,0.229983258,5
11602,rsva,2019_W12,0.237959157,0.158771954,0.237992527,0.356230645,0.238063423,5
11603,rsva,2019_W12,0.243372076,0.163052573,0.243435959,0.362595983,0.243568814,5
11604,rsva,2019_W12,0.292051842,0.197562251,0.292020836,0.431831783,0.291963746,5
11605,rsva,2019_W12,0.322573877,0.217017452,0.322541542,0.479561652,0.322482527,5
11606,rsva,2019_W12,0.865143872,0.557279659,0.865164199,1.342345267,0.86522024,5
11607,rsva,2019_W12,1.867458428,1.330266236,1.866918233,2.624952,1.865857029,5
11608,rsva,2019_W12,0.166623685,0.080895891,0.166679584,0.342325791,0.166796515,5
11609,rsva,2019_W12,0.166098619,0.085485335,0.166038648,0.323175353,0.165923381,5
11610,rsva,2019_W12,0.209721357,0.108767077,0.209687223,0.404491651,0.209625033,5
11611,rsva,2019_W12,0.082014387,0.034705613,0.081988132,0.193999009,0.081939024,5
11612,rsva,2019_W12,0.354166352,0.200577963,0.354362434,0.62311123,0.354766332,5
11613,rsva,2019_W12,0.048205486,0.017169841,0.048244938,0.134594011,0.048325647,4
11614,rsva,2019_W12,0.025380651,0.004992653,0.025394896,0.128427121,0.025425166,4
11615,rsva,2019_W12,0.036775997,0.011410465,0.036869919,0.116733199,0.037059056,4
11616,rsva,2019_W12,0.04080657,0.010129328,0.040867323,0.162821777,0.040990957,4
11601,rsva,2019_W13,0.157142377,0.102427616,0.157207828,0.240434315,0.15734224,5
11602,rsva,2019_W13,0.247741396,0.165576551,0.247765551,0.370341323,0.247818156,5
11603,rsva,2019_W13,0.205793315,0.136902127,0.205819145,0.309020615,0.20587494,5
11604,rsva,2019_W13,0.339929061,0.231927894,0.339895793,0.498316989,0.339834409,5
11605,rsva,2019_W13,0.351151419,0.238002956,0.351146882,0.517939576,0.351142935,5
11606,rsva,2019_W13,0.655170062,0.407226089,0.655636711,1.049448291,0.656580468,5
11607,rsva,2019_W13,1.534886161,1.07516504,1.534305835,2.195038903,1.533164511,5
11608,rsva,2019_W13,0.185689114,0.092562956,0.185694153,0.372206132,0.185710643,5
11609,rsva,2019_W13,0.180857762,0.095083342,0.180776376,0.344659951,0.180618564,5
11610,rsva,2019_W13,0.161448416,0.079178121,0.161491228,0.328494592,0.161581764,5
11611,rsva,2019_W13,0.079621236,0.033625624,0.07958954,0.188796758,0.079529224,4
11612,rsva,2019_W13,0.240452312,0.126299722,0.240981087,0.451994717,0.242054444,5
11613,rsva,2019_W13,0.05669755,0.021543342,0.056736058,0.148517924,0.056815527,4
11614,rsva,2019_W13,0.033166255,0.007736329,0.033173257,0.1418254,0.033189212,4
11615,rsva,2019_W13,0.039073084,0.012445477,0.039137352,0.121424358,0.039267373,4
11616,rsva,2019_W13,0.058772082,0.017731203,0.058786764,0.194316198,0.058819133,4
11601,rsva,2019_W14,0.116484006,0.074316836,0.116514857,0.182233642,0.116579516,5
