PUMA5CE,pathogen,epi_week,latent_field_mean,latent_field_0_025quant,latent_field_0_5quant,latent_field_0_975quant,latent_field_mode,latent_field_quintile
11608,yam,2019_W05,0.007920762,0.001107885,0.007920978,0.056518663,0.007922086,4
11609,yam,2019_W05,0.006698706,0.000851192,0.006698575,0.052623737,0.006698909,4
11610,yam,2019_W05,0.001828978,0.000162541,0.001830172,0.020460729,0.001832773,3
11611,yam,2019_W05,0.002109623,0.000147277,0.002109853,0.030126697,0.00211056,3
11612,yam,2019_W05,0.002849865,0.000230907,0.002849746,0.035100634,0.002849815,3
11613,yam,2019_W05,1.66E-06,1.22E-36,1.66E-06,2.14E+24,1.66E-06,1
11614,yam,2019_W05,0.004279612,0.000401846,0.004280541,0.045424005,0.004282852,4
11615,yam,2019_W05,0.001292921,5.90E-05,0.001293587,0.028158872,0.001295103,2
11616,yam,2019_W05,0.000375817,7.80E-06,0.000376281,0.017917918,0.000377282,1
11601,yam,2019_W06,0.011217591,0.002470964,0.011217316,0.050861718,0.011217498,5
11602,yam,2019_W06,0.01584356,0.00348989,0.015843217,0.071836509,0.015843564,5
11603,yam,2019_W06,0.01572448,0.003528135,0.015724167,0.069994187,0.015724552,5
11604,yam,2019_W06,0.016597502,0.003756568,0.016597055,0.073243494,0.016597223,5
11605,yam,2019_W06,0.012881745,0.002858884,0.012881253,0.057975853,0.012881102,5
11606,yam,2019_W06,0.001324276,8.27E-05,0.001325051,0.021089298,0.001326772,2
11607,yam,2019_W06,0.000274652,2.96E-06,0.000274884,0.025232614,0.000275405,1
11608,yam,2019_W06,0.009630135,0.001438856,0.009629882,0.064351015,0.009630165,5
11609,yam,2019_W06,0.007853129,0.001080176,0.007852723,0.057006916,0.007852579,4
11610,yam,2019_W06,0.002574757,0.000255495,0.002575829,0.025832654,0.002578247,3
11611,yam,2019_W06,0.002610653,0.000213509,0.002610647,0.031848675,0.002610917,3
11612,yam,2019_W06,0.002692064,0.000209651,0.002691934,0.034496698,0.00269197,3
11613,yam,2019_W06,2.20E-06,3.21E-34,2.20E-06,1.43E+22,2.20E-06,1
11614,yam,2019_W06,0.0055283,0.000576446,0.005528758,0.052884224,0.005530219,4
11615,yam,2019_W06,0.001740512,9.53E-05,0.001741016,0.031644108,0.001742252,3
11616,yam,2019_W06,0.00057354,1.47E-05,0.00057407,0.022198256,0.00057523,2
11601,yam,2019_W07,0.013124109,0.00293433,0.013123676,0.058629388,0.013123655,5
11602,yam,2019_W07,0.018681295,0.004149962,0.018680752,0.0839929,0.018680875,5
11603,yam,2019_W07,0.018620715,0.004221607,0.018620175,0.082034317,0.018620283,5
11604,yam,2019_W07,0.019161891,0.004377345,0.019161278,0.08378317,0.019161268,5
11605,yam,2019_W07,0.01401483,0.003150896,0.014014314,0.062264096,0.01401418,5
11606,yam,2019_W07,0.00184339,0.000133448,0.001844066,0.025350931,0.001845637,3
11607,yam,2019_W07,0.000394321,5.70E-06,0.000394551,0.027101898,0.000395087,2
11608,yam,2019_W07,0.01136278,0.001793919,0.011362242,0.071869958,0.011362066,5
11609,yam,2019_W07,0.008934771,0.001309605,0.00893427,0.060869381,0.008934004,4
11610,yam,2019_W07,0.003517655,0.000386656,0.003518493,0.031895525,0.003520516,3
11611,yam,2019_W07,0.003135322,0.00029474,0.003135139,0.033290932,0.00313509,3
11612,yam,2019_W07,0.00246794,0.00017088,0.00246778,0.035569197,0.002467743,3
11613,yam,2019_W07,2.83E-06,6.28E-32,2.82E-06,1.21E+20,2.83E-06,1
11614,yam,2019_W07,0.006930544,0.000793397,0.006930549,0.060419964,0.006931209,4
11615,yam,2019_W07,0.0022739,0.000147546,0.002274191,0.034931451,0.002275044,3
11616,yam,2019_W07,0.000849455,2.67E-05,0.000850019,0.026865954,0.000851281,2
11601,yam,2019_W08,0.014892279,0.003367192,0.014891768,0.065788017,0.014891697,5
11602,yam,2019_W08,0.021362714,0.004775393,0.021362047,0.09545182,0.021362087,5
11603,yam,2019_W08,0.021385006,0.004886176,0.021384328,0.093484565,0.021384327,5
11604,yam,2019_W08,0.02145493,0.004934271,0.021454233,0.093180681,0.021454195,5
11605,yam,2019_W08,0.014787749,0.003350165,0.014787257,0.06519713,0.014787218,5
11606,yam,2019_W08,0.002488627,0.000206978,0.002489108,0.029822245,0.002490343,3
11607,yam,2019_W08,0.000549061,1.05E-05,0.00054926,0.028513431,0.000549755,2
11608,yam,2019_W08,0.013002832,0.002144512,0.013002182,0.078732149,0.013001888,5
11609,yam,2019_W08,0.009858881,0.001514039,0.00985841,0.064104602,0.009858261,5
11610,yam,2019_W08,0.00466094,0.000562666,0.004661431,0.038512457,0.004662844,4
11611,yam,2019_W08,0.003651893,0.000385989,0.003651612,0.034494796,0.003651401,3
11612,yam,2019_W08,0.002194254,0.000126104,0.002194072,0.038098778,0.002193976,3
11613,yam,2019_W08,3.52E-06,8.43E-30,3.52E-06,1.40304E+18,3.52E-06,1
11614,yam,2019_W08,0.008426468,0.001045986,0.008426096,0.067770782,0.008426108,4
11615,yam,2019_W08,0.002881173,0.000218314,0.002881214,0.037931197,0.002881617,3
11616,yam,2019_W08,0.001220173,4.66E-05,0.00122071,0.031772248,0.001221962,2
11601,yam,2019_W09,0.016308356,0.003715843,0.016307833,0.07149127,0.016307824,5
11602,yam,2019_W09,0.023574224,0.005292375,0.023573503,0.104882916,0.023573575,5
11603,yam,2019_W09,0.023700025,0.005444545,0.023699291,0.103044925,0.023699323,5
11604,yam,2019_W09,0.023181547,0.005354784,0.023180835,0.100238636,0.02318087,5
11605,yam,2019_W09,0.015057473,0.003418904,0.015057015,0.066237227,0.015057056,5
11606,yam,2019_W09,0.003242211,0.000306511,0.003242429,0.034208696,0.003243196,3
11607,yam,2019_W09,0.000737786,1.85E-05,0.000737922,0.029300872,0.000738313,2
11608,yam,2019_W09,0.014359141,0.002444422,0.014358529,0.084232645,0.014358396,5
11609,yam,2019_W09,0.010498122,0.001658954,0.010497737,0.066335309,0.010497799,5
11610,yam,2019_W09,0.005959809,0.000782722,0.005959906,0.04529084,0.005960624,4
11611,yam,2019_W09,0.004104801,0.000475567,0.004104518,0.035373843,0.004104331,4
11612,yam,2019_W09,0.001882688,8.48E-05,0.001882515,0.041678119,0.001882421,3
11613,yam,2019_W09,4.23E-06,7.02E-28,4.23E-06,2.44362E+16,4.23E-06,1
11614,yam,2019_W09,0.009886928,0.001312757,0.009886341,0.074349743,0.009886023,5
11615,yam,2019_W09,0.003522948,0.00030649,0.003522764,0.040415692,0.003522765,3
11616,yam,2019_W09,0.001691383,7.79E-05,0.001691818,0.036580445,0.001692917,3
11601,yam,2019_W10,0.017198231,0.003935247,0.017197721,0.075072592,0.017197792,5
11602,yam,2019_W10,0.025050596,0.005637535,0.02504986,0.111179695,0.025049994,5
11603,yam,2019_W10,0.025291896,0.005828782,0.025291151,0.109615819,0.025291256,5
11604,yam,2019_W10,0.024118605,0.005582854,0.024117901,0.104072838,0.024118011,5
11605,yam,2019_W10,0.014764079,0.00334102,0.014763623,0.065165567,0.014763654,5
11606,yam,2019_W10,0.004067517,0.000431777,0.004067445,0.038242747,0.004067695,4
11607,yam,2019_W10,0.000954658,3.09E-05,0.000954702,0.029427523,0.00095493,2
11608,yam,2019_W10,0.015269467,0.002649676,0.015268945,0.087870277,0.015269051,5
11609,yam,2019_W10,0.010764737,0.001717702,0.010764398,0.067360679,0.010764569,5
11610,yam,2019_W10,0.007338323,0.00103765,0.007338056,0.051814674,0.007338139,4
11611,yam,2019_W10,0.004442949,0.000548336,0.004442726,0.035940691,0.004442678,4
11612,yam,2019_W10,0.001555523,5.26E-05,0.001555394,0.045917283,0.001555363,2
11613,yam,2019_W10,4.90E-06,3.21E-26,4.89E-06,7.19043E+14,4.90E-06,1
11614,yam,2019_W10,0.011170727,0.00156327,0.011170098,0.079704678,0.011169782,5
11615,yam,2019_W10,0.004148101,0.000406258,0.004147767,0.042283131,0.004147513,4
11616,yam,2019_W10,0.002257716,0.000123981,0.00225797,0.040978776,0.002258762,3
11601,yam,2019_W11,0.017426457,0.003990705,0.017425949,0.076007004,0.017426038,5
11602,yam,2019_W11,0.025575685,0.00575948,0.025574941,0.11343563,0.025575091,5
11603,yam,2019_W11,0.025931889,0.005982446,0.025931138,0.112273462,0.025931269,5
11604,yam,2019_W11,0.024109406,0.005579478,0.024108703,0.104056364,0.024108814,5
11605,yam,2019_W11,0.013908973,0.00311884,0.013908487,0.061956621,0.013908407,5
11606,yam,2019_W11,0.004902892,0.000576266,0.004902576,0.041647224,0.004902392,4
11607,yam,2019_W11,0.001186864,4.86E-05,0.001186802,0.028919905,0.00118684,2
11608,yam,2019_W11,0.015601005,0.002724353,0.015600526,0.0892119,0.01560074,5
11609,yam,2019_W11,0.010605544,0.001676348,0.010605157,0.066997287,0.010605223,5
11610,yam,2019_W11,0.008681506,0.001306733,0.008680988,0.057596313,0.008680656,4
11611,yam,2019_W11,0.004620455,0.00058888,0.00462029,0.036191864,0.004620368,4
11612,yam,2019_W11,0.001234838,3.02E-05,0.001234772,0.050316777,0.001234837,2
11613,yam,2019_W11,5.44E-06,6.95E-25,5.44E-06,4.11371E+13,5.44E-06,1
11614,yam,2019_W11,0.012126446,0.001760639,0.012125897,0.083394906,0.012125805,5
11615,yam,2019_W11,0.004692746,0.000505823,0.004692372,0.043467324,0.004692071,4
11616,yam,2019_W11,0.002895559,0.000187294,0.002895576,0.0446516,0.002895951,3
11601,yam,2019_W12,0.01688803,0.003857551,0.016887504,0.073847383,0.016887523,5
11602,yam,2019_W12,0.024972211,0.005617794,0.024971459,0.110873663,0.024971557,5
11603,yam,2019_W12,0.025427154,0.005860071,0.025426389,0.110200199,0.025426464,5
11604,yam,2019_W12,0.02304822,0.00532053,0.023047508,0.099726873,0.023047538,5
11605,yam,2019_W12,0.012531755,0.002768093,0.012531248,0.056668405,0.012531047,5
11606,yam,2019_W12,0.005652,0.000723999,0.005651564,0.044059172,0.005651187,4
11607,yam,2019_W12,0.001411179,7.15E-05,0.001411034,0.027798772,0.001410923,2
11608,yam,2019_W12,0.015244256,0.002644601,0.015243722,0.087748835,0.0152438,5
11609,yam,2019_W12,0.009992944,0.001535289,0.009992438,0.064949356,0.009992229,5
11610,yam,2019_W12,0.009822421,0.001554669,0.009821828,0.061974415,0.009821419,5
11611,yam,2019_W12,0.004595417,0.000585568,0.00459525,0.036003245,0.004595324,4
11612,yam,2019_W12,0.000937502,1.62E-05,0.000937506,0.05414842,0.000937679,2
11613,yam,2019_W12,5.79E-06,6.11E-24,5.79E-06,5.30221E+12,5.79E-06,1
11614,yam,2019_W12,0.012589535,0.001865509,0.01258909,0.084829919,0.012589235,5
11615,yam,2019_W12,0.005077282,0.000587235,0.00507697,0.043827055,0.005076815,4
11616,yam,2019_W12,0.003551595,0.000266639,0.003551391,0.047209729,0.003551378,3
11601,yam,2019_W13,0.01559787,0.003541953,0.015597335,0.068609136,0.015597257,5
11602,yam,2019_W13,0.023236914,0.005213491,0.02323618,0.103445365,0.023236203,5
11603,yam,2019_W13,0.023759843,0.005459469,0.023759085,0.10328322,0.023759069,5
11604,yam,2019_W13,0.020997851,0.004823872,0.020997161,0.091295473,0.020997106,5
11605,yam,2019_W13,0.010760422,0.002327411,0.010759982,0.049690833,0.010759807,5
11606,yam,2019_W13,0.006209401,0.000851825,0.006208985,0.045198216,0.006208683,4
11607,yam,2019_W13,0.001599052,9.75E-05,0.001598878,0.026173165,0.00159872,2
11608,yam,2019_W13,0.014195645,0.002415633,0.014195003,0.083307662,0.014194799,5
11609,yam,2019_W13,0.008973397,0.001315885,0.008972818,0.061106726,0.008972397,5
11610,yam,2019_W13,0.010591014,0.001740246,0.010590489,0.064367543,0.010590259,5
11611,yam,2019_W13,0.004355753,0.000537296,0.004355524,0.035254053,0.004355456,4
11612,yam,2019_W13,0.000678319,8.08E-06,0.000678388,0.056674559,0.000678658,2
11613,yam,2019_W13,5.87E-06,1.90E-23,5.87E-06,1.75601E+12,5.87E-06,1
11614,yam,2019_W13,0.012456118,0.001852527,0.012455698,0.083622953,0.012455881,5
11615,yam,2019_W13,0.005235196,0.000632059,0.005234973,0.043288383,0.005235004,4
11616,yam,2019_W13,0.004151582,0.000355613,0.004151251,0.048379876,0.004151025,4
11601,yam,2019_W14,0.013792021,0.003102646,0.013791521,0.061237653,0.013791405,5
11602,yam,2019_W14,0.020698995,0.004623386,0.020698324,0.09255956,0.020698317,5
11603,yam,2019_W14,0.021253522,0.004858684,0.021252816,0.092861814,0.021252753,5
11604,yam,2019_W14,0.018313067,0.004176176,0.01831246,0.08021144,0.018312409,5
11605,yam,2019_W14,0.008845221,0.001861919,0.008844959,0.04196711,0.008845028,4
11606,yam,2019_W14,0.006530623,0.000941416,0.006530288,0.045235804,0.006530161,4
11607,yam,2019_W14,0.00173461,0.000123168,0.001734451,0.0243823,0.00173433,3
11608,yam,2019_W14,0.012654906,0.002086151,0.012654221,0.076663185,0.012653828,5
11609,yam,2019_W14,0.00771406,0.001061333,0.007713552,0.055986667,0.007713193,4
11610,yam,2019_W14,0.010932286,0.00184022,0.01093185,0.06485463,0.010931815,5
11611,yam,2019_W14,0.003952385,0.0004576,0.003952094,0.034084239,0.003951877,3
11612,yam,2019_W14,0.000469846,3.80E-06,0.000469955,0.057688501,0.000470274,2
